nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625

Epoch : 1
[progress:94.6%]time:8.19s Loss:0.73522 Correct:280685/337920 Acc:83.063%
[progress:97.4%]time:8.17s Loss:0.72320 Correct:289186/348160 Acc:83.061%
Testing ...
[progress:100.0%]time:45.16s Loss:1.12818 Correct:113536/152974 Acc:74.219%
end

Epoch : 8
[progress:2.9%]time:9.02s Loss:0.83258 Correct:8244/10240 Acc:80.508%
[progress:5.7%]time:8.15s Loss:0.76059 Correct:16682/20480 Acc:81.455%
[progress:8.6%]time:8.17s Loss:0.69964 Correct:25294/30720 Acc:82.337%
[progress:11.5%]time:8.17s Loss:0.68801 Correct:33900/40960 Acc:82.764%
[progress:14.3%]time:8.17s Loss:0.70890 Correct:42460/51200 Acc:82.930%
[progress:17.2%]time:8.06s Loss:0.66602 Correct:51131/61440 Acc:83.221%
[progress:20.1%]time:8.17s Loss:0.65977 Correct:59806/71680 Acc:83.435%
[progress:22.9%]time:8.24s Loss:0.70344 Correct:68393/81920 Acc:83.488%
[progress:25.8%]time:8.14s Loss:0.69590 Correct:77002/92160 Acc:83.553%
[progress:28.7%]time:8.23s Loss:0.68689 Correct:85609/102400 Acc:83.603%
[progress:31.5%]time:8.16s Loss:0.69137 Correct:94198/112640 Acc:83.627%
[progress:34.4%]time:8.21s Loss:0.70712 Correct:102767/122880 Acc:83.632%
[progress:37.2%]time:8.17s Loss:0.66667 Correct:111456/133120 Acc:83.726%
[progress:40.1%]time:8.22s Loss:0.68685 Correct:120057/143360 Acc:83.745%
[progress:43.0%]time:8.17s Loss:0.69287 Correct:128660/153600 Acc:83.763%
[progress:45.8%]time:8.20s Loss:0.68445 Correct:137280/163840 Acc:83.789%
[progress:48.7%]time:8.18s Loss:0.67204 Correct:145920/174080 Acc:83.824%
[progress:51.6%]time:8.20s Loss:0.70703 Correct:154480/184320 Acc:83.811%
[progress:54.4%]time:8.19s Loss:0.71646 Correct:163058/194560 Acc:83.809%
[progress:57.3%]time:8.23s Loss:0.71518 Correct:171628/204800 Acc:83.803%
[progress:60.2%]time:8.14s Loss:0.67152 Correct:180275/215040 Acc:83.833%
[progress:63.0%]time:8.20s Loss:0.71086 Correct:188830/225280 Acc:83.820%
[progress:65.9%]time:8.18s Loss:0.69610 Correct:197437/235520 Acc:83.830%
[progress:68.8%]time:8.21s Loss:0.72927 Correct:205997/245760 Acc:83.820%
[progress:71.6%]time:8.24s Loss:0.66369 Correct:214696/256000 Acc:83.866%
[progress:74.5%]time:8.13s Loss:0.70215 Correct:223273/266240 Acc:83.862%
[progress:77.4%]time:8.21s Loss:0.68729 Correct:231907/276480 Acc:83.878%
[progress:80.2%]time:8.18s Loss:0.68540 Correct:240521/286720 Acc:83.887%
[progress:83.1%]time:8.19s Loss:0.68237 Correct:249138/296960 Acc:83.896%
[progress:86.0%]time:8.15s Loss:0.67057 Correct:257798/307200 Acc:83.919%
[progress:88.8%]time:8.23s Loss:0.69836 Correct:266402/317440 Acc:83.922%
[progress:91.7%]time:8.18s Loss:0.68898 Correct:275016/327680 Acc:83.928%
[progress:94.6%]time:8.10s Loss:0.68192 Correct:283667/337920 Acc:83.945%
[progress:97.4%]time:8.11s Loss:0.68810 Correct:292268/348160 Acc:83.946%
Testing ...
[progress:100.0%]time:45.22s Loss:1.62120 Correct:99977/152974 Acc:65.356%
end

Epoch : 9
[progress:2.9%]time:8.97s Loss:0.82562 Correct:8288/10240 Acc:80.938%
[progress:5.7%]time:8.13s Loss:0.69940 Correct:16887/20480 Acc:82.456%
[progress:8.6%]time:8.19s Loss:0.65859 Correct:25551/30720 Acc:83.174%
[progress:11.5%]time:8.20s Loss:0.67497 Correct:34200/40960 Acc:83.496%
[progress:14.3%]time:8.19s Loss:0.66719 Correct:42865/51200 Acc:83.721%
[progress:17.2%]time:8.19s Loss:0.66879 Correct:51559/61440 Acc:83.918%
[progress:20.1%]time:8.19s Loss:0.64783 Correct:60259/71680 Acc:84.067%
[progress:22.9%]time:8.18s Loss:0.64258 Correct:69019/81920 Acc:84.252%
