nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625
Loading from checkpoint/ckpt.t7

Epoch : 16
[progress:41.6%]time:8.22s Loss:0.82002 Correct:119695/148480 Acc:80.614%
[progress:43.0%]time:7.97s Loss:0.81564 Correct:123824/153600 Acc:80.615%
[progress:44.4%]time:7.93s Loss:0.77045 Correct:128002/158720 Acc:80.646%
[progress:45.9%]time:8.40s Loss:0.84898 Correct:132116/163840 Acc:80.637%
[progress:47.3%]time:8.26s Loss:0.85374 Correct:136256/168960 Acc:80.644%
[progress:48.7%]time:8.24s Loss:0.77721 Correct:140427/174080 Acc:80.668%
[progress:50.2%]time:7.97s Loss:0.78947 Correct:144597/179200 Acc:80.690%
[progress:51.6%]time:7.89s Loss:0.80075 Correct:148747/184320 Acc:80.700%
[progress:53.0%]time:7.96s Loss:0.82173 Correct:152840/189440 Acc:80.680%
[progress:54.5%]time:7.95s Loss:0.87141 Correct:156935/194560 Acc:80.661%
[progress:55.9%]time:7.99s Loss:0.84082 Correct:161072/199680 Acc:80.665%
[progress:57.3%]time:8.00s Loss:0.81970 Correct:165198/204800 Acc:80.663%
[progress:58.8%]time:7.90s Loss:0.79820 Correct:169384/209920 Acc:80.690%
[progress:60.2%]time:8.01s Loss:0.83943 Correct:173517/215040 Acc:80.691%
[progress:61.6%]time:8.00s Loss:0.85475 Correct:177608/220160 Acc:80.672%
[progress:63.1%]time:7.97s Loss:0.81501 Correct:181723/225280 Acc:80.665%
[progress:64.5%]time:7.98s Loss:0.80198 Correct:185913/230400 Acc:80.691%
[progress:65.9%]time:7.92s Loss:0.79074 Correct:190082/235520 Acc:80.707%
[progress:67.4%]time:7.91s Loss:0.81948 Correct:194212/240640 Acc:80.706%
[progress:68.8%]time:8.07s Loss:0.78906 Correct:198424/245760 Acc:80.739%
[progress:70.3%]time:8.05s Loss:0.83857 Correct:202534/250880 Acc:80.729%
[progress:71.7%]time:8.03s Loss:0.78829 Correct:206691/256000 Acc:80.739%
[progress:73.1%]time:7.95s Loss:0.80318 Correct:210856/261120 Acc:80.751%
[progress:74.6%]time:7.89s Loss:0.89010 Correct:214960/266240 Acc:80.739%
[progress:76.0%]time:7.98s Loss:0.88254 Correct:219052/271360 Acc:80.724%
[progress:77.4%]time:8.06s Loss:0.80312 Correct:223190/276480 Acc:80.726%
[progress:78.9%]time:7.96s Loss:0.80603 Correct:227365/281600 Acc:80.740%
[progress:80.3%]time:8.19s Loss:0.85329 Correct:231455/286720 Acc:80.725%
[progress:81.7%]time:7.98s Loss:0.79265 Correct:235603/291840 Acc:80.730%
[progress:83.2%]time:8.02s Loss:0.78149 Correct:239797/296960 Acc:80.751%
[progress:84.6%]time:7.95s Loss:0.77407 Correct:243981/302080 Acc:80.767%
[progress:86.0%]time:8.08s Loss:0.78317 Correct:248155/307200 Acc:80.780%
[progress:87.5%]time:7.97s Loss:0.84061 Correct:252263/312320 Acc:80.771%
[progress:88.9%]time:7.88s Loss:0.84215 Correct:256360/317440 Acc:80.759%
[progress:90.3%]time:7.94s Loss:0.83774 Correct:260483/322560 Acc:80.755%
[progress:91.8%]time:7.93s Loss:0.84722 Correct:264587/327680 Acc:80.746%
[progress:93.2%]time:7.95s Loss:0.80515 Correct:268742/332800 Acc:80.752%
[progress:94.6%]time:8.09s Loss:0.82710 Correct:272889/337920 Acc:80.756%
[progress:96.1%]time:7.94s Loss:0.84918 Correct:276983/343040 Acc:80.744%
[progress:97.5%]time:7.97s Loss:0.83359 Correct:281141/348160 Acc:80.751%
[progress:98.9%]time:7.89s Loss:0.80327 Correct:285282/353280 Acc:80.752%
Testing ...
[progress:100.0%]time:174.66s Loss:0.85306 Correct:122642/152974 Acc:80.172%
end

Epoch : 20
[progress:1.4%]time:8.01s Loss:0.79825 Correct:4143/5120 Acc:80.918%
[progress:2.9%]time:7.88s Loss:0.84990 Correct:8259/10240 Acc:80.654%
[progress:4.3%]time:7.88s Loss:0.79529 Correct:12406/15360 Acc:80.768%
[progress:5.7%]time:7.92s Loss:0.80223 Correct:16566/20480 Acc:80.889%
[progress:7.2%]time:7.88s Loss:0.77291 Correct:20754/25600 Acc:81.070%
[progress:8.6%]time:7.92s Loss:0.83639 Correct:24857/30720 Acc:80.915%
[progress:10.0%]time:7.97s Loss:0.79224 Correct:29035/35840 Acc:81.013%
[progress:11.5%]time:7.92s Loss:0.79030 Correct:33198/40960 Acc:81.050%
[progress:12.9%]time:7.93s Loss:0.81052 Correct:37341/46080 Acc:81.035%
[progress:14.3%]time:7.98s Loss:0.80985 Correct:41522/51200 Acc:81.098%
[progress:15.8%]time:8.42s Loss:0.77294 Correct:45754/56320 Acc:81.239%
[progress:17.2%]time:8.19s Loss:0.80196 Correct:49895/61440 Acc:81.209%
[progress:18.6%]time:9.72s Loss:0.85729 Correct:53989/66560 Acc:81.113%
[progress:20.1%]time:9.97s Loss:0.81795 Correct:58135/71680 Acc:81.104%
[progress:21.5%]time:9.77s Loss:0.79541 Correct:62292/76800 Acc:81.109%
[progress:22.9%]time:10.87s Loss:0.85345 Correct:66401/81920 Acc:81.056%
[progress:24.4%]time:9.91s Loss:0.84257 Correct:70530/87040 Acc:81.032%
[progress:25.8%]time:8.10s Loss:0.81239 Correct:74655/92160 Acc:81.006%
[progress:27.2%]time:7.91s Loss:0.79802 Correct:78834/97280 Acc:81.038%
[progress:28.7%]time:7.94s Loss:0.84644 Correct:82943/102400 Acc:80.999%
[progress:30.1%]time:7.93s Loss:0.80398 Correct:87087/107520 Acc:80.996%
[progress:31.5%]time:7.95s Loss:0.81516 Correct:91226/112640 Acc:80.989%
[progress:33.0%]time:8.00s Loss:0.81828 Correct:95360/117760 Acc:80.978%
[progress:34.4%]time:8.07s Loss:0.81151 Correct:99493/122880 Acc:80.968%
[progress:35.8%]time:8.07s Loss:0.83889 Correct:103610/128000 Acc:80.945%
[progress:37.3%]time:8.00s Loss:0.83530 Correct:107756/133120 Acc:80.947%
[progress:38.7%]time:7.88s Loss:0.81983 Correct:111896/138240 Acc:80.943%
[progress:40.1%]time:7.89s Loss:0.83241 Correct:116018/143360 Acc:80.928%
[progress:41.6%]time:7.99s Loss:0.83426 Correct:120155/148480 Acc:80.923%
[progress:43.0%]time:7.90s Loss:0.82060 Correct:124290/153600 Acc:80.918%
[progress:44.4%]time:7.95s Loss:0.81638 Correct:128446/158720 Acc:80.926%
[progress:45.9%]time:7.96s Loss:0.79816 Correct:132644/163840 Acc:80.959%
[progress:47.3%]time:8.00s Loss:0.82946 Correct:136777/168960 Acc:80.952%
[progress:48.7%]time:7.97s Loss:0.87607 Correct:140837/174080 Acc:80.904%
[progress:50.2%]time:7.90s Loss:0.82245 Correct:144981/179200 Acc:80.905%
[progress:51.6%]time:7.93s Loss:0.86629 Correct:149065/184320 Acc:80.873%
