nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625

Epoch : 1
[progress:2.9%]time:9.04s Loss:0.79809 Correct:8332/10240 Acc:81.367%
[progress:5.7%]time:8.20s Loss:0.71209 Correct:16872/20480 Acc:82.383%
[progress:8.6%]time:8.20s Loss:0.68880 Correct:25494/30720 Acc:82.988%
[progress:11.5%]time:8.19s Loss:0.69062 Correct:34114/40960 Acc:83.286%
[progress:14.3%]time:8.19s Loss:0.65828 Correct:42807/51200 Acc:83.607%
[progress:17.2%]time:8.37s Loss:0.67469 Correct:51398/61440 Acc:83.656%
[progress:20.1%]time:8.23s Loss:0.66548 Correct:60066/71680 Acc:83.797%
[progress:22.9%]time:8.23s Loss:0.66735 Correct:68739/81920 Acc:83.910%
[progress:25.8%]time:8.34s Loss:0.66965 Correct:77399/92160 Acc:83.983%
[progress:28.7%]time:8.20s Loss:0.66578 Correct:86089/102400 Acc:84.071%
[progress:31.5%]time:8.24s Loss:0.66942 Correct:94752/112640 Acc:84.119%
[progress:34.4%]time:8.25s Loss:0.66989 Correct:103398/122880 Acc:84.146%
[progress:37.2%]time:8.28s Loss:0.68220 Correct:111986/133120 Acc:84.124%
[progress:40.1%]time:8.20s Loss:0.65745 Correct:120665/143360 Acc:84.169%
[progress:43.0%]time:8.25s Loss:0.63725 Correct:129439/153600 Acc:84.270%
[progress:45.8%]time:8.31s Loss:0.66584 Correct:138128/163840 Acc:84.307%
[progress:48.7%]time:8.22s Loss:0.66628 Correct:146800/174080 Acc:84.329%
[progress:51.6%]time:8.25s Loss:0.64988 Correct:155489/184320 Acc:84.358%
[progress:54.4%]time:8.21s Loss:0.64960 Correct:164217/194560 Acc:84.404%
[progress:57.3%]time:8.23s Loss:0.66219 Correct:172922/204800 Acc:84.435%
[progress:60.2%]time:8.24s Loss:0.64609 Correct:181659/215040 Acc:84.477%
[progress:63.0%]time:8.23s Loss:0.65365 Correct:190362/225280 Acc:84.500%
[progress:65.9%]time:8.21s Loss:0.64171 Correct:199122/235520 Acc:84.546%
[progress:68.8%]time:8.23s Loss:0.64028 Correct:207868/245760 Acc:84.582%
[progress:71.6%]time:8.25s Loss:0.64761 Correct:216608/256000 Acc:84.612%
[progress:74.5%]time:8.29s Loss:0.64736 Correct:225346/266240 Acc:84.640%
[progress:77.4%]time:8.24s Loss:0.66776 Correct:234049/276480 Acc:84.653%
